label,path,split
dog,animals/dogs/00746-3846168908.png,train
dog,animals/dogs/00740-3846168902.png,train
dog,animals/dogs/00868-3846169030.png,train
cat,animals/cats/00265-200124575.png,train
cat,animals/cats/00283-200124593.png,train
cat,animals/cats/00251-200124561.png,train
dog,animals/dogs/00949-3846169111.png,train
dog,animals/dogs/00635-3846168797.png,train
cat,animals/cats/00007-4122619880.png,train
cat,animals/cats/00170-200124480.png,train
cat,animals/cats/00423-200124733.png,train
dog,animals/dogs/00599-3846168761.png,train
cat,animals/cats/00017-4122619890.png,train
cat,animals/cats/00073-200124383.png,train
cat,animals/cats/00449-200124759.png,train
cat,animals/cats/00292-200124602.png,train
dog,animals/dogs/00990-127787244.png,train
dog,animals/dogs/00865-3846169027.png,train
cat,animals/cats/00490-200124800.png,train
dog,animals/dogs/00866-3846169028.png,train
dog,animals/dogs/00795-3846168957.png,train
cat,animals/cats/00467-200124777.png,train
dog,animals/dogs/00591-3846168753.png,train
dog,animals/dogs/00675-3846168837.png,train
cat,animals/cats/00034-200124344.png,train
cat,animals/cats/00354-200124664.png,train
cat,animals/cats/00131-200124441.png,train
cat,animals/cats/00418-200124728.png,train
dog,animals/dogs/00972-3846169134.png,train
cat,animals/cats/00247-200124557.png,train
dog,animals/dogs/00809-3846168971.png,train
cat,animals/cats/00413-200124723.png,train
cat,animals/cats/00110-200124420.png,train
dog,animals/dogs/00780-3846168942.png,train
dog,animals/dogs/00894-3846169056.png,train
cat,animals/cats/00393-200124703.png,train
cat,animals/cats/00222-200124532.png,train
cat,animals/cats/00223-200124533.png,train
dog,animals/dogs/00765-3846168927.png,train
dog,animals/dogs/00581-3846168743.png,train
cat,animals/cats/00027-200124337.png,train
cat,animals/cats/00476-200124786.png,train
dog,animals/dogs/00689-3846168851.png,train
dog,animals/dogs/00754-3846168916.png,train
cat,animals/cats/00020-4122619893.png,train
cat,animals/cats/00345-200124655.png,train
dog,animals/dogs/00935-3846169097.png,train
dog,animals/dogs/00574-3846168736.png,train
cat,animals/cats/00491-200124801.png,train
dog,animals/dogs/00555-3846168717.png,train
cat,animals/cats/00210-200124520.png,train
cat,animals/cats/00114-200124424.png,train
dog,animals/dogs/00753-3846168915.png,train
cat,animals/cats/00048-200124358.png,train
cat,animals/cats/00024-4122619897.png,train
cat,animals/cats/00121-200124431.png,train
cat,animals/cats/00499-200124809.png,train
cat,animals/cats/00329-200124639.png,train
cat,animals/cats/00105-200124415.png,train
dog,animals/dogs/00662-3846168824.png,train
dog,animals/dogs/00566-3846168728.png,train
dog,animals/dogs/00639-3846168801.png,train
dog,animals/dogs/00726-3846168888.png,train
dog,animals/dogs/00537-3846168699.png,train
dog,animals/dogs/00644-3846168806.png,train
cat,animals/cats/00038-200124348.png,train
dog,animals/dogs/00536-3846168698.png,train
dog,animals/dogs/00516-3846168678.png,train
cat,animals/cats/00081-200124391.png,train
